Parque distribuido por tipo de vehículo, carburante y año de matriculación.
Comunidad Autónoma/Provincia residencia: Madrid (Comunidad de)/Madrid
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Antigüedad Matriculación: 2014, 2015, 2016, 2017, 2018, 2019, 2020

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Antigüedad Matriculación;Total
TOTAL;TURISMOS;Gas Natural Comprimido;2016;128
TOTAL;TURISMOS;Gas Natural Comprimido;2017;553
TOTAL;TURISMOS;Gas Natural Comprimido;2018;2000
TOTAL;TURISMOS;Gas Natural Comprimido;2019;3198
TOTAL;TURISMOS;Gas Natural Comprimido;2020;1739
TOTAL;TURISMOS;Gas Natural Licuado;TOTAL;19
TOTAL;TURISMOS;Gas Natural Licuado;2015;2
TOTAL;TURISMOS;Gas Natural Licuado;2017;3
TOTAL;TURISMOS;Gas Natural Licuado;2019;5
TOTAL;TURISMOS;Gas Natural Licuado;2020;9
TOTAL;TURISMOS;Gasolina;TOTAL;648075
TOTAL;TURISMOS;Gasolina;2014;36840
TOTAL;TURISMOS;Gasolina;2015;52216
TOTAL;TURISMOS;Gasolina;2016;71326
TOTAL;TURISMOS;Gasolina;2017;91590
TOTAL;TURISMOS;Gasolina;2018;120844
TOTAL;TURISMOS;Gasolina;2019;146412
TOTAL;TURISMOS;Gasolina;2020;128847
TOTAL;TURISMOS;Hidrógeno;TOTAL;33
TOTAL;TURISMOS;Hidrógeno;2018;3
TOTAL;TURISMOS;Hidrógeno;2019;17
TOTAL;TURISMOS;Hidrógeno;2020;13
TOTAL;TURISMOS;Otros;TOTAL;86
TOTAL;TURISMOS;Otros;2014;4
TOTAL;TURISMOS;Otros;2015;3
TOTAL;TURISMOS;Otros;2016;4
TOTAL;TURISMOS;Otros;2017;10
TOTAL;TURISMOS;Otros;2018;19
TOTAL;TURISMOS;Otros;2019;23
TOTAL;TURISMOS;Otros;2020;23
TOTAL;TURISMOS;Sin especificar;TOTAL;35
TOTAL;TURISMOS;Sin especificar;2014;1
TOTAL;TURISMOS;Sin especificar;2015;6
TOTAL;TURISMOS;Sin especificar;2016;2
TOTAL;TURISMOS;Sin especificar;2017;6
TOTAL;TURISMOS;Sin especificar;2018;6
TOTAL;TURISMOS;Sin especificar;2019;10
TOTAL;TURISMOS;Sin especificar;2020;4
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2014;283
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2015;407
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2016;502
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2017;564
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2018;645
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2019;617
Madrid (Comunidad de)/Madrid;AUTOBUSES;Diesel;2020;311
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2014;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2015;14
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2016;18
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2017;22
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2018;8
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2019;58
Madrid (Comunidad de)/Madrid;AUTOBUSES;Eléctrico;2020;17
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Licuado de Petroleo;2014;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Licuado de Petroleo;2015;3
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Licuado de Petroleo;2016;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Licuado de Petroleo;2017;2
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Licuado de Petroleo;2018;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2014;39
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2015;41
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2016;191
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2017;257
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2018;254
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2019;247
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Comprimido;2020;349
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gas Natural Licuado;2019;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gasolina;2014;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Gasolina;2018;1
Madrid (Comunidad de)/Madrid;AUTOBUSES;Otros;2017;1
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2014;3315
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2015;4828
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2016;5465
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2017;7537
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2018;11744
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2019;14804
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Diesel;2020;11693
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2014;8
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2015;39
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2016;38
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2017;46
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2018;162
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2019;174
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Eléctrico;2020;176
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2014;2
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2015;10
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2016;21
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2017;60
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2018;246
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2019;514
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;2020;284
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2014;7
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2015;50
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2016;15
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2017;50
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2018;85
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2019;199
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Comprimido;2020;139
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gas Natural Licuado;2018;1
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2014;44
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2015;77
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2016;65
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2017;67
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2018;140
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2019;240
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Gasolina;2020;104
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Otros;2015;1
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Otros;2018;1
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Sin especificar;2015;2
Madrid (Comunidad de)/Madrid;CAMIONES HASTA 3500kg;Sin especificar;2017;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Butano;2017;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2014;643
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2015;977
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2016;1435
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2017;1497
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2018;1825
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2019;1717
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Diesel;2020;1370
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Eléctrico;2016;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Eléctrico;2017;2
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Eléctrico;2018;3
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Eléctrico;2019;12
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Eléctrico;2020;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2014;3
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2015;7
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2016;4
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2017;9
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2018;3
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2019;9
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2020;20
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2014;5
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2015;18
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2016;149
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2017;269
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2018;54
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2019;157
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;2020;96
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2014;4
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2015;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2016;4
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2017;5
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2018;15
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2019;11
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;2020;15
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2014;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2015;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2016;8
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2017;5
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2018;2
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2019;1
Madrid (Comunidad de)/Madrid;CAMIONES MÁS DE 3500kg;Gasolina;2020;1
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2014;52
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2015;80
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2016;137
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2017;182
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2018;232
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2019;252
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Diesel;2020;247
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2014;35
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2015;39
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2016;125
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2017;295
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2018;658
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2019;843
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Eléctrico;2020;407
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2014;826
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2015;1207
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2016;1464
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2017;1787
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2018;1327
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2019;1332
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Gasolina;2020;1444
Madrid (Comunidad de)/Madrid;CICLOMOTORES;Sin especificar;2020;2
Madrid (Comunidad de)/Madrid;FURGONETAS;Butano;2019;1
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2014;8258
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2015;11951
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2016;14987
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2017;20709
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2018;32412
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2019;41130
Madrid (Comunidad de)/Madrid;FURGONETAS;Diesel;2020;38263
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2014;31
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2015;78
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2016;206
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2017;252
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2018;524
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2019;702
Madrid (Comunidad de)/Madrid;FURGONETAS;Eléctrico;2020;692
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2014;28
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2015;100
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2016;124
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2017;275
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2018;757
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2019;2485
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Licuado de Petroleo;2020;782
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2014;19
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2015;33
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2016;58
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2017;118
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2018;327
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2019;987
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Comprimido;2020;705
Madrid (Comunidad de)/Madrid;FURGONETAS;Gas Natural Licuado;2018;1
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2014;206
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2015;279
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2016;495
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2017;692
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2018;2081
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2019;3268
Madrid (Comunidad de)/Madrid;FURGONETAS;Gasolina;2020;3517
Madrid (Comunidad de)/Madrid;FURGONETAS;Otros;2017;1
Madrid (Comunidad de)/Madrid;FURGONETAS;Otros;2019;3
Madrid (Comunidad de)/Madrid;FURGONETAS;Otros;2020;1
Madrid (Comunidad de)/Madrid;FURGONETAS;Sin especificar;2019;1
Madrid (Comunidad de)/Madrid;FURGONETAS;Sin especificar;2020;2
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2014;50
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2015;74
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2016;64
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2017;78
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2018;47
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2019;60
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Diesel;2020;52
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2014;96
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2015;138
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2016;215
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2017;233
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2018;955
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2019;3824
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Eléctrico;2020;3112
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Licuado de Petroleo;2015;1
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Licuado de Petroleo;2016;3
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Licuado de Petroleo;2017;3
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Licuado de Petroleo;2018;2
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Licuado de Petroleo;2020;1
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Natural Comprimido;2019;2
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Natural Comprimido;2020;1
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gas Natural Licuado;2017;1
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2014;11942
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2015;14441
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2016;17529
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2017;15340
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2018;18175
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2019;20747
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Gasolina;2020;18154
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Sin especificar;2015;1
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Sin especificar;2016;2
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Sin especificar;2017;2
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Sin especificar;2018;5
Madrid (Comunidad de)/Madrid;MOTOCICLETAS;Sin especificar;2019;2
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2014;422
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2015;678
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2016;781
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2017;1130
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2018;1448
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2019;1724
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Diesel;2020;1483
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2014;46
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2015;62
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2016;88
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2017;116
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2018;142
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2019;188
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Eléctrico;2020;132
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2014;6
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2015;4
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2016;7
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2017;6
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2018;9
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2019;10
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Licuado de Petroleo;2020;8
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Natural Comprimido;2015;1
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Natural Comprimido;2016;5
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Natural Comprimido;2020;1
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gas Natural Licuado;2016;1
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2014;24
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2015;38
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2016;34
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2017;70
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2018;72
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2019;111
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Gasolina;2020;147
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Otros;2015;1
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2014;11
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2015;8
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2016;14
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2017;18
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2018;18
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2019;22
Madrid (Comunidad de)/Madrid;OTROS VEHÍCULOS;Sin especificar;2020;7
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2014;411
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2015;553
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2016;642
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2017;695
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2018;666
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2019;739
Madrid (Comunidad de)/Madrid;REMOLQUES;Sin especificar;2020;480
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2014;745
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2015;994
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2016;1521
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2017;1694
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2018;1452
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2019;1254
Madrid (Comunidad de)/Madrid;SEMIRREMOLQUES;Sin especificar;2020;1034
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2014;899
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2015;1300
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2016;1747
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2017;2110
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2018;2503
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2019;3616
Madrid (Comunidad de)/Madrid;TRACTORES INDUSTRIALES;Diesel;2020;3236
Madrid (Comunidad de)/Madrid;TURISMOS;Biodiesel;2014;1
Madrid (Comunidad de)/Madrid;TURISMOS;Butano;2014;1
Madrid (Comunidad de)/Madrid;TURISMOS;Butano;2016;4
Madrid (Comunidad de)/Madrid;TURISMOS;Butano;2017;10
Madrid (Comunidad de)/Madrid;TURISMOS;Butano;2018;7
Madrid (Comunidad de)/Madrid;TURISMOS;Butano;2019;7
Madrid (Comunidad de)/Madrid;TURISMOS;Butano;2020;4
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2014;80260
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2015;91136
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2016;91611
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2017;90483
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2018;92944
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2019;106213
Madrid (Comunidad de)/Madrid;TURISMOS;Diesel;2020;95968
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2014;272
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2015;550
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2016;927
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2017;2466
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2018;4518
Madrid (Comunidad de)/Madrid;TURISMOS;Eléctrico;2019;5548
