Matriculaciones según carburante y mes.
Comunidad Autónoma/Provincia formalización: Madrid (Comunidad de)/Madrid
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Mes: Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre

Comunidad Autónoma/Provincia formalización;Carburante;Mes;Total
TOTAL;TOTAL;TOTAL;436259
Madrid (Comunidad de)/Madrid;TOTAL;TOTAL;436259
Madrid (Comunidad de)/Madrid;Diesel;TOTAL;277233
Madrid (Comunidad de)/Madrid;Diesel;Enero;19103
Madrid (Comunidad de)/Madrid;Diesel;Febrero;25638
Madrid (Comunidad de)/Madrid;Diesel;Marzo;27341
Madrid (Comunidad de)/Madrid;Diesel;Abril;24881
Madrid (Comunidad de)/Madrid;Diesel;Mayo;29628
Madrid (Comunidad de)/Madrid;Diesel;Junio;32903
Madrid (Comunidad de)/Madrid;Diesel;Julio;22845
Madrid (Comunidad de)/Madrid;Diesel;Agosto;13251
Madrid (Comunidad de)/Madrid;Diesel;Septiembre;18058
Madrid (Comunidad de)/Madrid;Diesel;Octubre;19016
Madrid (Comunidad de)/Madrid;Diesel;Noviembre;21018
Madrid (Comunidad de)/Madrid;Diesel;Diciembre;23551
Madrid (Comunidad de)/Madrid;Eléctrico;TOTAL;2319
Madrid (Comunidad de)/Madrid;Eléctrico;Enero;69
Madrid (Comunidad de)/Madrid;Eléctrico;Febrero;73
Madrid (Comunidad de)/Madrid;Eléctrico;Marzo;195
Madrid (Comunidad de)/Madrid;Eléctrico;Abril;245
Madrid (Comunidad de)/Madrid;Eléctrico;Mayo;238
Madrid (Comunidad de)/Madrid;Eléctrico;Junio;198
Madrid (Comunidad de)/Madrid;Eléctrico;Julio;136
Madrid (Comunidad de)/Madrid;Eléctrico;Agosto;102
Madrid (Comunidad de)/Madrid;Eléctrico;Septiembre;128
Madrid (Comunidad de)/Madrid;Eléctrico;Octubre;155
Madrid (Comunidad de)/Madrid;Eléctrico;Noviembre;458
Madrid (Comunidad de)/Madrid;Eléctrico;Diciembre;322
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;TOTAL;517
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Enero;39
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Febrero;20
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Marzo;36
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Abril;59
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Mayo;48
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Junio;77
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Julio;28
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Agosto;28
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Septiembre;26
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Octubre;23
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Noviembre;31
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Diciembre;102
