Matriculaciones según carburante y mes.
Comunidad Autónoma/Provincia formalización: Madrid (Comunidad de)/Madrid
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Mes: Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre

Comunidad Autónoma/Provincia formalización;Carburante;Mes;Total
TOTAL;TOTAL;TOTAL;408532
Madrid (Comunidad de)/Madrid;TOTAL;TOTAL;408532
Madrid (Comunidad de)/Madrid;Diesel;TOTAL;180572
Madrid (Comunidad de)/Madrid;Diesel;Enero;12276
Madrid (Comunidad de)/Madrid;Diesel;Febrero;15777
Madrid (Comunidad de)/Madrid;Diesel;Marzo;6095
Madrid (Comunidad de)/Madrid;Diesel;Abril;1210
Madrid (Comunidad de)/Madrid;Diesel;Mayo;8948
Madrid (Comunidad de)/Madrid;Diesel;Junio;20114
Madrid (Comunidad de)/Madrid;Diesel;Julio;24913
Madrid (Comunidad de)/Madrid;Diesel;Agosto;12878
Madrid (Comunidad de)/Madrid;Diesel;Septiembre;17461
Madrid (Comunidad de)/Madrid;Diesel;Octubre;18545
Madrid (Comunidad de)/Madrid;Diesel;Noviembre;19250
Madrid (Comunidad de)/Madrid;Diesel;Diciembre;23105
Madrid (Comunidad de)/Madrid;Eléctrico;TOTAL;17647
Madrid (Comunidad de)/Madrid;Eléctrico;Enero;543
Madrid (Comunidad de)/Madrid;Eléctrico;Febrero;1335
Madrid (Comunidad de)/Madrid;Eléctrico;Marzo;1068
Madrid (Comunidad de)/Madrid;Eléctrico;Abril;344
Madrid (Comunidad de)/Madrid;Eléctrico;Mayo;1806
Madrid (Comunidad de)/Madrid;Eléctrico;Junio;1082
Madrid (Comunidad de)/Madrid;Eléctrico;Julio;2772
