Matriculaciones según carburante y mes.
Comunidad Autónoma/Provincia formalización: Madrid (Comunidad de)/Madrid
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Mes: Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre

Comunidad Autónoma/Provincia formalización;Carburante;Mes;Total
TOTAL;TOTAL;TOTAL;470490
Madrid (Comunidad de)/Madrid;TOTAL;TOTAL;470490
Madrid (Comunidad de)/Madrid;Diesel;TOTAL;272662
Madrid (Comunidad de)/Madrid;Diesel;Enero;18568
Madrid (Comunidad de)/Madrid;Diesel;Febrero;23296
Madrid (Comunidad de)/Madrid;Diesel;Marzo;27615
Madrid (Comunidad de)/Madrid;Diesel;Abril;23503
Madrid (Comunidad de)/Madrid;Diesel;Mayo;30528
Madrid (Comunidad de)/Madrid;Diesel;Junio;29324
Madrid (Comunidad de)/Madrid;Diesel;Julio;22779
Madrid (Comunidad de)/Madrid;Diesel;Agosto;13889
Madrid (Comunidad de)/Madrid;Diesel;Septiembre;19776
Madrid (Comunidad de)/Madrid;Diesel;Octubre;20647
Madrid (Comunidad de)/Madrid;Diesel;Noviembre;22277
Madrid (Comunidad de)/Madrid;Diesel;Diciembre;20460
Madrid (Comunidad de)/Madrid;Eléctrico;TOTAL;5712
Madrid (Comunidad de)/Madrid;Eléctrico;Enero;100
Madrid (Comunidad de)/Madrid;Eléctrico;Febrero;179
Madrid (Comunidad de)/Madrid;Eléctrico;Marzo;283
Madrid (Comunidad de)/Madrid;Eléctrico;Abril;243
Madrid (Comunidad de)/Madrid;Eléctrico;Mayo;358
Madrid (Comunidad de)/Madrid;Eléctrico;Junio;400
Madrid (Comunidad de)/Madrid;Eléctrico;Julio;730
Madrid (Comunidad de)/Madrid;Eléctrico;Agosto;420
Madrid (Comunidad de)/Madrid;Eléctrico;Septiembre;572
Madrid (Comunidad de)/Madrid;Eléctrico;Octubre;1073
Madrid (Comunidad de)/Madrid;Eléctrico;Noviembre;685
Madrid (Comunidad de)/Madrid;Eléctrico;Diciembre;669
Madrid (Comunidad de)/Madrid;Etanol;TOTAL;4
Madrid (Comunidad de)/Madrid;Etanol;Agosto;2
Madrid (Comunidad de)/Madrid;Etanol;Septiembre;1
Madrid (Comunidad de)/Madrid;Etanol;Diciembre;1
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;TOTAL;1929
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Enero;77
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Febrero;71
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Marzo;78
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Abril;86
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Mayo;125
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Junio;146
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Julio;135
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Agosto;124
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Septiembre;187
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Octubre;281
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Noviembre;299
Madrid (Comunidad de)/Madrid;Gas Licuado de Petroleo;Diciembre;320
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;TOTAL;1316
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Enero;19
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Febrero;28
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Marzo;26
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Abril;28
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Mayo;68
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Junio;156
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Julio;148
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Agosto;64
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Septiembre;131
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Octubre;200
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Noviembre;195
Madrid (Comunidad de)/Madrid;Gas Natural Comprimido;Diciembre;253
Madrid (Comunidad de)/Madrid;Gas Natural Licuado;TOTAL;5
Madrid (Comunidad de)/Madrid;Gas Natural Licuado;Febrero;1
Madrid (Comunidad de)/Madrid;Gas Natural Licuado;Mayo;1
Madrid (Comunidad de)/Madrid;Gas Natural Licuado;Julio;1
Madrid (Comunidad de)/Madrid;Gas Natural Licuado;Septiembre;1
Madrid (Comunidad de)/Madrid;Gas Natural Licuado;Noviembre;1
Madrid (Comunidad de)/Madrid;Gasolina;TOTAL;187804
Madrid (Comunidad de)/Madrid;Gasolina;Enero;13475
Madrid (Comunidad de)/Madrid;Gasolina;Febrero;16621
Madrid (Comunidad de)/Madrid;Gasolina;Marzo;20421
Madrid (Comunidad de)/Madrid;Gasolina;Abril;17442
Madrid (Comunidad de)/Madrid;Gasolina;Mayo;22640
Madrid (Comunidad de)/Madrid;Gasolina;Junio;23141
Madrid (Comunidad de)/Madrid;Gasolina;Julio;15099
Madrid (Comunidad de)/Madrid;Gasolina;Agosto;8398
Madrid (Comunidad de)/Madrid;Gasolina;Septiembre;9432
Madrid (Comunidad de)/Madrid;Gasolina;Octubre;11999
Madrid (Comunidad de)/Madrid;Gasolina;Noviembre;14215
Madrid (Comunidad de)/Madrid;Gasolina;Diciembre;14921
Madrid (Comunidad de)/Madrid;Hidrógeno;TOTAL;1
Madrid (Comunidad de)/Madrid;Hidrógeno;Julio;1
Madrid (Comunidad de)/Madrid;Otros;TOTAL;2
Madrid (Comunidad de)/Madrid;Otros;Enero;1
Madrid (Comunidad de)/Madrid;Otros;Junio;1
Madrid (Comunidad de)/Madrid;Sin especificar;TOTAL;1055
Madrid (Comunidad de)/Madrid;Sin especificar;Enero;78
Madrid (Comunidad de)/Madrid;Sin especificar;Febrero;74
Madrid (Comunidad de)/Madrid;Sin especificar;Marzo;118
Madrid (Comunidad de)/Madrid;Sin especificar;Abril;106
Madrid (Comunidad de)/Madrid;Sin especificar;Mayo;78
Madrid (Comunidad de)/Madrid;Sin especificar;Junio;88
Madrid (Comunidad de)/Madrid;Sin especificar;Julio;119
Madrid (Comunidad de)/Madrid;Sin especificar;Agosto;56
Madrid (Comunidad de)/Madrid;Sin especificar;Septiembre;53
Madrid (Comunidad de)/Madrid;Sin especificar;Octubre;95
Madrid (Comunidad de)/Madrid;Sin especificar;Noviembre;135
Madrid (Comunidad de)/Madrid;Sin especificar;Diciembre;55
