Matriculaciones según carburante y mes.
Comunidad Autónoma/Provincia formalización: Madrid (Comunidad de)/Madrid
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Mes: Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre

Comunidad Autónoma/Provincia formalización;Carburante;Mes;Total
TOTAL;TOTAL;TOTAL;496403
Madrid (Comunidad de)/Madrid;TOTAL;TOTAL;496403
Madrid (Comunidad de)/Madrid;Biometano;TOTAL;1
Madrid (Comunidad de)/Madrid;Biometano;Septiembre;1
Madrid (Comunidad de)/Madrid;Butano;TOTAL;24
Madrid (Comunidad de)/Madrid;Butano;Enero;2
Madrid (Comunidad de)/Madrid;Butano;Febrero;3
Madrid (Comunidad de)/Madrid;Butano;Marzo;2
Madrid (Comunidad de)/Madrid;Butano;Abril;2
Madrid (Comunidad de)/Madrid;Butano;Mayo;4
Madrid (Comunidad de)/Madrid;Butano;Junio;2
Madrid (Comunidad de)/Madrid;Butano;Julio;1
Madrid (Comunidad de)/Madrid;Butano;Agosto;2
Madrid (Comunidad de)/Madrid;Butano;Septiembre;2
Madrid (Comunidad de)/Madrid;Butano;Octubre;2
Madrid (Comunidad de)/Madrid;Butano;Noviembre;2
Madrid (Comunidad de)/Madrid;Diesel;TOTAL;197514
Madrid (Comunidad de)/Madrid;Diesel;Enero;13656
Madrid (Comunidad de)/Madrid;Diesel;Febrero;16131
Madrid (Comunidad de)/Madrid;Diesel;Marzo;18083
Madrid (Comunidad de)/Madrid;Diesel;Abril;19203
Madrid (Comunidad de)/Madrid;Diesel;Mayo;20546
Madrid (Comunidad de)/Madrid;Diesel;Junio;19063
Madrid (Comunidad de)/Madrid;Diesel;Julio;16845
Madrid (Comunidad de)/Madrid;Diesel;Agosto;12079
Madrid (Comunidad de)/Madrid;Diesel;Septiembre;12510
Madrid (Comunidad de)/Madrid;Diesel;Octubre;16193
Madrid (Comunidad de)/Madrid;Diesel;Noviembre;15447
Madrid (Comunidad de)/Madrid;Diesel;Diciembre;17758
Madrid (Comunidad de)/Madrid;Eléctrico;TOTAL;14285
Madrid (Comunidad de)/Madrid;Eléctrico;Enero;638
