Matriculaciones según carburante y mes.
Comunidad Autónoma/Provincia formalización: Madrid (Comunidad de)/Madrid
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel
Mes: Enero, Febrero, Marzo, Abril, Mayo, Junio, Julio, Agosto, Septiembre, Octubre, Noviembre, Diciembre

Comunidad Autónoma/Provincia formalización;Carburante;Mes;Total
TOTAL;TOTAL;TOTAL;390923
Madrid (Comunidad de)/Madrid;TOTAL;TOTAL;390923
Madrid (Comunidad de)/Madrid;Diesel;TOTAL;274919
Madrid (Comunidad de)/Madrid;Diesel;Enero;17875
Madrid (Comunidad de)/Madrid;Diesel;Febrero;26501
Madrid (Comunidad de)/Madrid;Diesel;Marzo;31870
Madrid (Comunidad de)/Madrid;Diesel;Abril;23596
Madrid (Comunidad de)/Madrid;Diesel;Mayo;26697
Madrid (Comunidad de)/Madrid;Diesel;Junio;33809
Madrid (Comunidad de)/Madrid;Diesel;Julio;24654
Madrid (Comunidad de)/Madrid;Diesel;Agosto;11517
Madrid (Comunidad de)/Madrid;Diesel;Septiembre;18441
Madrid (Comunidad de)/Madrid;Diesel;Octubre;19354
Madrid (Comunidad de)/Madrid;Diesel;Noviembre;19779
Madrid (Comunidad de)/Madrid;Diesel;Diciembre;20826
Madrid (Comunidad de)/Madrid;Eléctrico;TOTAL;1453
Madrid (Comunidad de)/Madrid;Eléctrico;Enero;19
Madrid (Comunidad de)/Madrid;Eléctrico;Febrero;51
Madrid (Comunidad de)/Madrid;Eléctrico;Marzo;88
Madrid (Comunidad de)/Madrid;Eléctrico;Abril;52
Madrid (Comunidad de)/Madrid;Eléctrico;Mayo;70
Madrid (Comunidad de)/Madrid;Eléctrico;Junio;142
Madrid (Comunidad de)/Madrid;Eléctrico;Julio;126
Madrid (Comunidad de)/Madrid;Eléctrico;Agosto;68
Madrid (Comunidad de)/Madrid;Eléctrico;Septiembre;174
Madrid (Comunidad de)/Madrid;Eléctrico;Octubre;307
Madrid (Comunidad de)/Madrid;Eléctrico;Noviembre;225
