CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
4011567; C. SERRANO;Goya-Jorge Juan;Jorge Juan;20/03/2019;27/03/2019;40,42493;-3,68809
4011573; C. SERRANO;Recoletos-Plaza de la Independencia;Plaza de la Independencia;27/03/2019;03/04/2019;40,42096;-3,68869
4011588; C. VELAZQUEZ;Hermosilla-Ayala;Ayala;20/03/2019;27/03/2019;40,42654;-3,684
4011589; C. VELAZQUEZ;Jorge Juan-Goya;Goya;28/06/2019;05/07/2019;40,42455;-3,68389
4011826; C. CASTELLO;Alcala-Jorge Juan;Jorge Juan;18/07/2019;25/07/2019;40,42297;-3,68169
4011828; C. CASTELLO;Hermosilla-Ayala;Ayala;18/07/2019;25/07/2019;40,42658;-3,68129
4011859; C. COLUMELA;Serrano-Claudio Coello;Claudio Coello;17/07/2019;24/07/2019;40,42114;-3,68771
4011965; C. DON RAMON DE LA CRUZ;Nunez de Balboa-Castello;Castello;18/07/2019;25/07/2019;40,42895;-3,682
4012282; C. NUNEZ DE BALBOA;Alcala-Jorge Juan;Alcala;31/10/2019;07/11/2019;40,4231;-3,68296
4012284; C. NUNEZ DE BALBOA;Hermosilla-Ayala;Hermosilla;31/10/2019;07/11/2019;40,427;-3,6828
4012610; C. VILLANUEVA;Velazquez-Lagasca;Lagasca;03/11/2019;10/11/2019;40,42239;-3,68544
4020103; C. ALCALA;Ayala-Manuel Becerra;Manuel Becerra;29/10/2019;05/11/2019;40,42761;-3,66961
4020104; C. ALCALA;Ayala-Manuel Becerra;Ayala;29/10/2019;05/11/2019;40,42747;-3,66956
4020116; C. ALCALA;Jorge Juan-Principe de Vergara;Jorge Juan;29/10/2019;05/11/2019;40,42278;-3,6797
4020117; C. ALCALA;Jorge Juan-Principe de Vergara;Principe de Vergara;29/10/2019;05/11/2019;40,42279;-3,67977
4020313; C. CONDE DE PENALVER;Ayala-Don Ramon de la Cruz;Don Ramon de la Cruz;29/10/2019;05/11/2019;40,42817;-3,67522
4020314; C. CONDE DE PENALVER;Ayala-Don Ramon de la Cruz;Ayala;29/10/2019;05/11/2019;40,42829;-3,67535
4020472; C. GOYA;Alcala-Fernan Gonzalez;Fernan Gonzalez;29/10/2019;05/11/2019;40,42476;-3,67467
4020473; C. GOYA;Alcala-Fernan Gonzalez;Alcala;29/10/2019;05/11/2019;40,42473;-3,67463
4020474; C. GOYA;Fuente del Berro-Doctor Esquerdo;Doctor Esquerdo;29/10/2019;05/11/2019;40,4245;-3,66933
4020475; C. GOYA;Fuente del Berro-Doctor Esquerdo;Fuente del Berro;29/10/2019;05/11/2019;40,42448;-3,66927
4020527; C. JORGE JUAN;Lope de Rueda-Narvaez;Narvaez;30/10/2019;06/11/2019;40,42348;-3,67702
