CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
1010479;C. GRAN VIA;San Bernardo-Garcia Molinas;San Bernardo;01/02/2021;08/02/2021;40.42177207;-3.708430526
1010480;C. GRAN VIA;San Bernardo-Garcia Molinas;Garcia Molinas;01/02/2021;08/02/2021;40.4218669;-3.708355201
1010611;C. MAYOR;Bailen-Cripta Catedral;Bailen;26/01/2021;02/02/2021;40.41506357;-3.714138983
1010612;C. MAYOR;Bailen-Cripta Catedral;Cripta Catedral;26/01/2021;02/02/2021;40.41511875;-3.714136
1010809;C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);26/01/2021;02/02/2021;40.41390503;-3.718837935
1010810;C. SEGOVIA;(Juan Duque)-(Mazarredo);(Juan Duque);26/01/2021;02/02/2021;40.41395802;-3.718837831
1010811;Lateral C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);26/01/2021;02/02/2021;40.41377511;-3.718847543
1010812;C. SEGOVIA;Costanilla de San Pedro-Costanilla de San Andres;Costanilla de San Pedro;26/01/2021;02/02/2021;40.41366814;-3.711147582
1010813;C. SEGOVIA;Costanilla de San Pedro-Costanilla de San Andres;Costanilla de San Andres;26/01/2021;02/02/2021;40.41372726;-3.711123935
1010887;Paseo. VIRGEN DEL PUERTO;Ciudad de Plasencia-Plaza de San Vicente;Plaza de San Vicente;01/02/2021;08/02/2021;40.4182071;-3.720286756
1010888;Paseo. VIRGEN DEL PUERTO;Ciudad de Plasencia-Plaza de San Vicente;Ciudad de Plasencia;01/02/2021;08/02/2021;40.41821445;-3.720406718
1010999;C. CARRERA DE SAN FRANCISCO;San Isidro Labrador-Aguas;San Isidro Labrador;23/02/2021;02/03/2021;40.41095906;-3.712786042
1011000;C. CARRERA DE SAN FRANCISCO;San Isidro Labrador-Aguas;Las Aguas;23/02/2021;02/03/2021;40.41090314;-3.712760368
1011003;C. CUESTA DE LA VEGA;Paseo Ciudad de Plasencia-Segovia;Paseo Ciudad de Plasencia;25/02/2021;04/03/2021;40.41453014;-3.716757329
1011004;C. CUESTA DE LA VEGA;Paseo Ciudad de Plasencia-Segovia;Segovia;10/02/2021;17/02/2021;40.41454;-3.71688
1011208;C. BAILEN;Mayor-Moreria;Moreria;23/02/2021;02/03/2021;40.41447;-3.713640008
1011209; C. BAILEN;Mayor-Moreria;Mayor;23/02/2021;02/03/2021;40.41447269;-3.713542095
1011430;C. MAYOR;Bailen-Almudena;Bailen;10/02/2021;17/02/2021;40.41513657;-3.713108386
1011431; C. MAYOR;Bailen-Almudena;Almudena;10/02/2021;17/02/2021;40.41504417;-3.713095448
1011532;C. SAN BERNARDO;Plaza de Santo Domingo-Gran Via;Gran Via;10/02/2021;17/02/2021;40.42118612;-3.708061308
1011533;C. SAN BERNARDO;Plaza de Santo Domingo-Gran Via;Plaza de Santo Domingo;18/02/2021;25/02/2021;40.42119906;-3.708100391
1011564;Pte. SEGOVIA;Virgen del Puerto-Puente Segovia (Gt.);Puente Segovia (Gt.);18/02/2021;25/02/2021;40.41408704;-3.722937856
1012054;C. GRAN VIA DE SAN FRANCISCO;Carrera de San Francisco-Rosario;Rosario;23/02/2021;02/03/2021;40.40990196;-3.713809911
1012374;C. PRETIL DE LOS CONSEJOS;Plaza de la Cruz Verde-Sacramento;Sacramento;25/02/2021;04/03/2021;40.41449807;-3.712463731
1012446;Lateral C. RONDA DE SEGOVIA;Glorieta Puerta de Toledo-Aguila;Aguila;04/03/2021;11/03/2021;40.40747636;-3.713461101
1012447;Lateral C. RONDA DE SEGOVIA;Glorieta Puerta de Toledo-Aguila;Glorieta Puerta de Toledo;04/03/2021;11/03/2021;40.40727782;-3.713603579
1012474;C. SACRAMENTO;Duque de Najera-Traviesa;Traviesa;12/03/2021;18/03/2021;40.41469154;-3.711424646
1012562;C. TINTOREROS, LOS;Puerta Cerrada (Pz.)-Toledo;Puerta Cerrada (Pz.);04/03/2021;11/03/2021;40.41362502;-3.708012843
1012770;Calle CAVA BAJA;Plaza Humilladero-Almendro;Plaza Humilladero;04/03/2021;11/03/2021;40.41199897;-3.70999781
1012806;Calle COSTANILLA DE LOS ANGELES;Caos del Peral-Plaza Santo Domingo;Plaza Santo Domingo;04/03/2021;11/03/2021;40.41935049;-3.708075055
1013144;Calle LEGANITOS;Torija-Doctor Carracido;Torija;12/03/2021;18/03/2021;40.42103674;-3.709651167
1020149; C. ATOCHA;Alameda-San Pedro;Alameda;12/03/2021;19/03/2021;40.41004209;-3.694420448
1020150; C. ATOCHA;Alameda-San Pedro;San Pedro;12/03/2021;19/03/2021;40.41008744;-3.694379737
1020308;C. CONCEPCION JERONIMA;Santo Tomas-Salvador;Salvador;12/03/2021;18/03/2021;40.41397722;-3.70572524
1021058; C. MAGDALENA. LA;Olivar-Ave Maria;Ave Maria;22/03/2021;29/03/2021;40.41241;-3.70095
1022450;Lateral C. RONDA DE TOLEDO;Plaza Campillo del Mundo Nuevo-Glorieta Puerta Toledo;Plaza Campillo del Mundo Nuevo;22/03/2021;29/03/2021;40.40625721;-3.709965178
1022451;Lateral C. RONDA DE TOLEDO;Plaza Campillo del Mundo Nuevo-Glorieta Puerta Toledo;Glorieta Puerta Toledo;22/03/2021;29/03/2021;40.40642425;-3.709975891
1022452;Tunel C. RONDA DE TOLEDO;Plaza Campillo del Mundo Nuevo-Glorieta Puerta de Toledo;Plaza Campillo del Mundo Nuevo;22/03/2021;29/03/2021;40.40630687;-3.709960162
1022453;Tunel C. RONDA DE TOLEDO;Plaza Campillo del Mundo Nuevo-Glorieta Puerta de Toledo;Glorieta Puerta de Toledo;22/03/2021;29/03/2021;40.40636695;-3.709960842
1022509; C. SANTA ISABEL;Tres Peces-Buenavista;Buenavista;05/04/2021;12/04/2021;40.4109285;-3.698347874
1022692; C. ARGUMOSA;Ronda de Atocha-Hospital;Ronda de Atocha;05/04/2021;12/04/2021;40.40737799;-3.696051567
1022693; C. ARGUMOSA;Ronda de Atocha-Hospital;Hospital;05/04/2021;12/04/2021;40.40741439;-3.696031348
1023231; C. OLIVAR;San Carlos-Plaza de Lavapis;Plaza de Lavapis;05/04/2021;12/04/2021;40.4096427;-3.701478918
1023374; C. VALENCIA;Ronda de Atocha-Doctor Fourquet;Doctor Fourquet;05/04/2021;12/04/2021;40.40635798;-3.699662386
1030107; C. ALCALA;Cedaceros-Sevilla;Sevilla;05/04/2021;12/04/2021;40.41804;-3.69877
1030478; C. GRAN VIA;Caballero de Gracia-Victor Hugo;Victor Hugo;14/04/2021;21/04/2021;40.41929997;-3.698005387
1030725; Pa PRADO;Gobernador-Plaza Plateria Martinez;Gobernador;14/04/2021;21/04/2021;40.41228135;-3.693294645
1030726; Pa PRADO;Plaza de Murillo-Felipe IV;Felipe IV;14/04/2021;21/04/2021;40.41291;-3.692956065
1031148; C. ALCALA;Barquillo-Cibeles (Pz.);Cibeles (Pz.);14/04/2021;21/04/2021;40.41900546;-3.695011409
1031151; C. ALCALA;Cedaceros-Gran Via;Cedaceros;14/04/2021;21/04/2021;40.41833904;-3.698149014
1031152; C. ALCALA;Cedaceros-Gran Via;Gran Via;14/04/2021;21/04/2021;40.41824473;-3.698093552
1031816; C. CARRERA DE SAN JERONIMO;Echegaray-Ventura de la Vega;Ventura de la Vega;21/04/2021;28/04/2021;40.41657489;-3.699223324
1032808; C. CRUZ;Espoz y Mina-Victoria;Victoria;21/04/2021;28/04/2021;40.41533333;-3.702066667
1040467; C. GENOVA;Argensola-General Castanos;General Castanos;21/04/2021;28/04/2021;40.42659898;-3.693732017
1040766;Lateral Pa RECOLETOS;Recoletos-Villanueva;Villanueva;21/04/2021;28/04/2021;40.42281755;-3.691084154
1040767;Lateral Pa RECOLETOS;Recoletos-Villanueva;Recoletos;21/04/2021;28/04/2021;40.42304324;-3.69187764
1040775; C. SAGASTA;Larra-Mejia Lequerica;Larra;21/04/2021;28/04/2021;40.42863982;-3.700180323
1040776;C. SAGASTA;Larra-Mejia Lequerica;Mejia Lequerica;11/05/2021;18/05/2021;40.42853177;-3.700205161
