CODIGO;NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD
401;Paseo. Paseo de la Castellana;Rafael Salgado-Profesor Waksman;Rafael Salgado;29/12/2020;05/01/2021;40,45521777;-3,690469219
488;Paseo. HABANA;Infanta Maria Teresa-Herreros de Tejada;Herreros de Tejada;30/12/2020;06/01/2021;40,45498321;-3,682669898
489;Paseo. HABANA;Infanta Maria Teresa-Herreros de Tejada;Infanta Maria Teresa;30/12/2020;06/01/2021;40,45502994;-3,682714129
490;Paseo. HABANA;Jerez-Avenida Comandante Franco;Comandante Franco;30/12/2020;06/01/2021;40,46478161;-3,679585618
491;Paseo. HABANA;Jerez-Avenida Comandante Franco;Jerez;30/12/2020;06/01/2021;40,46479419;-3,679657736
571;C. LOPEZ DE HOYOS;Eugenio Salazar-Marcenado;Eugenio Salazar;28/12/2020;04/01/2021;40,44503447;-3,672863005
572;C. LOPEZ DE HOYOS;Eugenio Salazar-Marcenado;Marcenado;28/12/2020;04/01/2021;40,4449886;-3,672830035
592;C. MARIA DE MOLINA;Principe de Vergara-Francisco Silvela;Principe de Vergara;28/12/2020;04/01/2021;40,43745789;-3,678161272
679;C. PADRE CLARET;Lopez de Hoyos-Acceso M-30;Acceso M-30;29/12/2020;05/01/2021;40,45082916;-3,665131871
718;C. PRADILLO;Pantoja-Saturnino Calleja;Saturnino Calleja;29/12/2020;05/01/2021;40,44899316;-3,671579161
719;C. PRADILLO;Pantoja-Saturnino Calleja;Pantoja;29/12/2020;05/01/2021;40,44904194;-3,67159
721;C. PRADILLO;Plaza de Cataluna-Vinaroz;Plaza de Cataluna;29/12/2020;05/01/2021;40,44878071;-3,67722729
735;Lateral C. PRINCIPE DE VERGARA;Canillas-Luis Cabrera;Luis Cabrera;28/12/2020;04/01/2021;40,44037933;-3,67866255
820;C. SERRANO;Republica de El Ecuador (Pz.)-Rodriguez Marin;Republica de El Ecuador (Pz.);30/12/2020;06/01/2021;40,45453895;-3,677935089
821;C. SERRANO;Republica de El Ecuador (Pz.)-Rodriguez Marin;Rodriguez Marin;30/12/2020;06/01/2021;40,45458417;-3,677971226
897;Avenida AVENIDA AMERICA;Mataelpino -Francisco Silvela;Francisco Silvela;28/12/2020;04/01/2021;40,43808155;-3,676334653
898;Avenida AVENIDA AMERICA;Mataelpino -Francisco Silvela;Mataelpino;28/12/2020;04/01/2021;40,43801177;-3,676257446
939;C. Calle Pr¡ncipe de Vergara;Colombia-Plaza de la Republica Dominicana;Colombia;30/12/2020;06/01/2021;40,45770555;-3,676959484
940;C. Calle Pr¡ncipe de Vergara;Colombia-Plaza de la Republica Dominicana;Plaza de la Republica Dominicana;30/12/2020;06/01/2021;40,45770077;-3,676845386
949;C. Calle L¢pez de Hoyos;Quintiliano-Cartagena;Cartagena;28/12/2020;04/01/2021;40,44252248;-3,676309529
950;C. Calle L¢pez de Hoyos;Quintiliano-Cartagena;Quintiliano;28/12/2020;04/01/2021;40,44257268;-3,676349393
969;Paseo PASEO CASTELLANA (LATERAL);Rafael Salgado-Profesor Waskman;Rafael Salgado;29/12/2020;05/01/2021;40,45525769;-3,690805957
1097;Av. RAMON Y CAJAL;Principe de Vergara-Plaza Virgen Guadalupana;Principe de Vergara;29/12/2020;05/01/2021;40,45170455;-3,675470638
1098;Av. RAMON Y CAJAL;Principe de Vergara-Plaza Virgen Guadalupana;Plaza Virgen Guadalupana;29/12/2020;05/01/2021;40,45159826;-3,67548
1010398; Pza. ESPANA;Bailen-Gran Via;Bailen;27/01/2020;03/02/2020;40,42262;-3,71224
1010479; C. GRAN VIA;San Bernardo-Garcia Molinas;San Bernardo;31/01/2020;07/02/2020;40,42146;-3,7079
1010480; C. GRAN VIA;San Bernardo-Garcia Molinas;Garcia Molinas;31/01/2020;07/02/2020;40,42143;-3,70793
1010611; C. MAYOR;Bailen-Cripta Catedral;Bailen;27/01/2020;03/02/2020;40,41512;-3,71401
1010612; C. MAYOR;Bailen-Cripta Catedral;Cripta Catedral;27/01/2020;03/02/2020;40,41513;-3,71413
1010809; C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);27/01/2020;03/02/2020;40,41405;-3,7188
1010810; C. SEGOVIA;(Juan Duque)-(Mazarredo);(Juan Duque);27/01/2020;03/02/2020;40,41406;-3,71886
1010811;Lateral C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);28/01/2020;04/02/2020;40,41405;-3,71875
1010812; C. SEGOVIA;Costanilla de San Pedro-Costanilla de San Andres;Costanilla de San Pedro;28/01/2020;04/02/2020;40,41351;-3,71122
