NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD;CODIGO
 C. Concejal Francisco Jos' JimENEZ;CALLE VINEGRA-CALLE GOTARRENDURA;CALLE VINEGRA;17/01/2018;24/01/2018;40,4017;-3,73708;10011002
 C. GALLUR;Alhambra-Via Carpetana;Via Carpetana;18/01/2018;25/01/2018;40,39567;-3,74269;10012025
 Paseo. ERMITA DEL SANTO;Glorieta Puente Segovia-M-30;Glorieta Puente Segovia;03/04/2018;10/04/2018;40,41334;-3,72429;10020393
 Paseo. ERMITA DEL SANTO;Glorieta Puente Segovia-M-30;M-30;03/04/2018;10/04/2018;40,41306;-3,72415;10020394
 Paseo. EXTREMADURA;Turismundo-Sisebuto;Sisebuto;04/04/2018;11/04/2018;40,41163;-3,73409;10021024
 Paseo. EXTREMADURA;Turismundo-Sisebuto;Turismundo;04/04/2018;11/04/2018;40,4116;-3,73406;10021025
 C. HERMINIO PUERTAS;Paseo de Extremadura-Carcagente;Carcagente;04/04/2018;11/04/2018;40,40958;-3,73736;10022082
Av. DE PORTUGAL (CENTRO DE SALUD);Alfonso Cea-Turismundo;Turismundo;04/04/2018;11/04/2018;40,41133333;-3,737783333;10022874
 Av. DE PORTUGAL (Nº 91);Puerta del Angel-Fruela;Puerta del Angel;04/04/2018;11/04/2018;40,41365;-3,731583333;10022878
C. HUERTA DE CASTAÑEDA (LATERAL);Paseo de Extremadura-Higueras;Paseo de Extremadura;05/04/2018;12/04/2018;40,40793333;-3,7415;10023070
 C. HIGUERAS, LAS;Almazan-Cebreros;Cebreros;05/04/2018;10/04/2018;40,40512;-3,74523;10030505
 C. HIGUERAS, LAS;Almazan-Cebreros;Almazan;05/04/2018;10/04/2018;40,40512;-3,74523;10030506
 C. HIGUERAS, LAS;Cebreros-Palmipedo;Cebreros;12/04/2018;19/04/2018;40,40453;-3,7453;10030507
 C. HIGUERAS, LAS;Cebreros-Palmipedo;Palmipedo;12/04/2018;19/04/2018;40,40458;-3,74532;10030508
 C. BARBERAN Y COLLAR;Los Yebenes-Concejal Francisco J. Jimenez Martin;Concejal Francisco J. Jimenez Martin;05/04/2018;11/04/2018;40,39953;-3,75535;10031716
 C. BARBERAN Y COLLAR;Los Yebenes-Concejal Francisco J. Jimenez Martin;Los Yebenes;05/04/2018;11/04/2018;40,39953;-3,75535;10031717
 C. CARLINA;Paseo de Extremadura-Cebreros;Cebreros;10/04/2018;17/04/2018;40,40392;-3,75082;10031808
 C. CARLINA;Paseo de Extremadura-Cebreros;Paseo de Extremadura;10/04/2018;17/04/2018;40,40392;-3,75082;10031809
 C. CEBREROS;Carlina-Acceso a Sepulveda;Acceso a Sepulveda;16/04/2018;23/04/2018;40,40429;-3,75019;10031840
 C. CEBREROS;Carlina-Acceso a Sepulveda;Carlina;11/04/2018;18/04/2018;40,40416;-3,75015;10031841
 C. HUERTA DE CASTAÑEDA (LATERAL);Paseo de Extremadura-Higueras;Higueras;12/04/2018;19/04/2018;40,40786667;-3,741666667;10033069
 C. VILLAMANIN;Metro Batán-Villavaliente;Villavaliente;11/04/2018;18/04/2018;40,4078;-3,750316667;10033397
 C. VALMOJADO;Illescas-Maqueda;Maqueda;17/01/2018;24/01/2018;40,39158;-3,75848;10041116
 C. VALMOJADO;Illescas-Maqueda;Illescas;17/01/2018;24/01/2018;40,39158;-3,75488;10041117
 C. ILLESCAS;Escalona-Tembleque;Escalona;17/01/2018;24/01/2018;40,39452;-3,76353;10042091
 C. ILLESCAS;Escalona-Tembleque;Tembleque;17/01/2018;24/01/2018;40,39452;-3,76353;10042092
 C. ILLESCAS;Valmojado-Camarena;Camarena;19/01/2018;26/01/2018;40,39238;-3,7578;10042095
 C. ILLESCAS;Valmojado-Camarena;Valmojado;19/01/2018;26/01/2018;40,39238;-3,7578;10042096
 C. MAQUEDA;Escalona-Tembleque;Tembleque;11/04/2018;18/04/2018;40,39202;-3,76357;10042187
 C. MAQUEDA;Escalona-Tembleque;Escalona;11/04/2018;18/04/2018;40,39202;-3,76357;10042188
 C. OCANA;Nuestra Senora de la Luz-Illescas;Nuestra Senora de la Luz;19/01/2018;26/01/2018;40,38903;-3,75208;10042290
 C. OCANA;Nuestra Senora de la Luz-Illescas;Illescas;19/01/2018;26/01/2018;40,38903;-3,75208;10042291
 C. SESENA;Valmojado-Tembleque;Tembleque;11/04/2018;18/04/2018;40,39754;-3,75764;10042532
 C. SESENA;Valmojado-Tembleque;Valmojado;11/04/2018;18/04/2018;40,39754;-3,75764;10042533
 C. SESEÑA;Tembleque-Acceso N-V;Tembleque;19/01/2018;26/01/2018;40,39821667;-3,762983333;10043356
 C. TEMBLEQUE;Seseña-Illescas;Seseña;19/01/2018;26/01/2018;40,39745;-3,758266667;10043363
 C. TEMBLEQUE;Seseña-Illescas;Illescas;19/01/2018;26/01/2018;40,39745;-3,758266667;10043364
 C. CARABIAS;Boadilla-Extremadura;Boadilla;11/04/2018;18/04/2018;40,39793;-3,76765;10051799
 C. CARABIAS;Boadilla-Extremadura;Extremadura;11/04/2018;18/04/2018;40,39793;-3,76765;10051800
 Carretera BOADILLA DEL MONTE;Carabias-Mirlo;Carabias;12/04/2018;19/04/2018;40,39905;-3,767733333;10052729
 Carretera BOADILLA DEL MONTE;Carabias-Mirlo;Mirlo;12/04/2018;19/04/2018;40,39905;-3,767733333;10052730
Av. AVIACION;Rafael Finat-Valle Inclan;Valle Inclan;31/01/2018;07/02/2018;40,37444;-3,77408;10060159
 Carretera BARRIO DE LA FORTUNA (Carretera);Aviación (avda) -M-40 (carretera);M-40 (carretera);30/07/2018;06/08/2018;40,365959;-3,768178;10060903
 Carretera BARRIO DE LA FORTUNA (Carretera);Aviación (avda) -M-40 (carretera);Aviación (avda) ;30/07/2018;06/08/2018;40,365959;-3,768178;10060904
 C. FLAUTAS;C PLATILLOS-C DE LOS TIMBALES;C DE LOS TIMBALES;22/01/2018;29/01/2018;40,37032;-3,76802;10062018
 C. FLAUTAS;C PLATILLOS-C DE LOS TIMBALES;C PLATILLOS;22/01/2018;29/01/2018;40,37032;-3,76802;10062019
 C. MEDINA DEL CAMPO;Avenida de La Aviacion-Garcia Morato;Avenida de La Aviacion;12/04/2018;19/04/2018;40,37968;-3,78816;10062223
 C. MEDINA DEL CAMPO;Avenida de La Aviacion-Garcia Morato;Garcia Morato;12/04/2018;19/04/2018;40,37968;-3,78816;10062224
 Av. DE LA AVIACIÓN;Rafael Finat-General Millán Astray;General Millán Astray;12/04/2018;19/04/2018;40,37413333;-3,772466667;10062824
 Av. AVIACION;Navalmoral de la Mata-Aldeanueva de la Vera;Navalmoral de la Mata;30/07/2018;06/08/2018;40,37507;-3,77761;10070156
 Av. AVIACION;Navalmoral de la Mata-Aldeanueva de la Vera;Aldeanueva de la Vera;30/07/2018;06/08/2018;40,37507;-3,77761;10070157
 Av. GENERAL FANJUL;AV DE LOS POBLADOS-C DE GUARE¥A;C DE GUARE¥A;29/01/2018;05/02/2018;40,38488;-3,76297;10070446
 Av. GENERAL FANJUL;Jose de Cadalso-General Romero Basart;Jose de Cadalso;29/01/2018;05/02/2018;40,38246;-3,77396;10070447
 Av. GENERAL FANJUL;Jose de Cadalso-General Romero Basart;General Romero Basart;29/01/2018;05/02/2018;40,38262;-3,77399;10070448
 C. GENERAL MILLAN ASTRAY;General Romero Basart-Rafael Finat;Rafael Finat;22/01/2018;29/01/2018;40,37907;-3,76704;10070449
 C. GENERAL MILLAN ASTRAY;General Romero Basart-Rafael Finat;General Romero Basart;22/01/2018;29/01/2018;40,37907;-3,76704;10070450
 C. VIDAUBA;C SANGUINO-C DAMASQUILLO;C DAMASQUILLO;23/01/2018;30/01/2018;40,38177;-3,76312;10070881
 Av. General Fanjul;Avenida de Los Poblados-Rafael Finat;Avenida de Los Poblados;19/01/2018;25/01/2018;40,38504;-3,76347;10070960
 C. MELILOTO;Munana-Empalme (Pz);Empalme (Pz);23/01/2018;30/01/2018;40,39;-3,76818;10072227
 C. MELILOTO;Munana-Empalme (Pz);Onil;23/01/2018;30/01/2018;40,39;-3,76818;10072228
 C. ALDEANUEVA DE LA VERA;Avenida de la Aviación-Talayuela;Avenida de la Aviación;12/04/2018;19/04/2018;40,37645;-3,7763;10072653
 Av. DE LA AVIACIÓN;Rafael Finat-General Millán Astray;Rafael Finat;12/04/2018;19/04/2018;40,37426667;-3,772466667;10072825
 Av. DE LOS POBLADOS;Luis Chamizo-Avenida del General Fanjul;Avenida del General Fanjul;30/01/2018;05/02/2018;40,38671667;-3,763033333;10072864
 Av. DE LOS POBLADOS;Luis Chamizo-Avenida del General Fanjul;Luis Chamizo;30/01/2018;05/02/2018;40,38671667;-3,763033333;10072865
 C. GENERAL ROMERO BASART;Avenida del General Fanjul-Oliva de Plasencia;Oliva de Plasencia;23/01/2018;30/01/2018;40,38018333;-3,7749;10073018
 C. GENERAL ROMERO BASART;Avenida del General Fanjul-Oliva de Plasencia;Avenida del General Fanjul;23/01/2018;30/01/2018;40,38018333;-3,7749;10073019
 C. GENERAL ROMERO BASART;Rafael Finat-José de Cadalso;Rafael Finat;24/01/2018;30/01/2018;40,37708333;-3,76965;10073022
