NOMBRE CRUCE;TRAMO;SENTIDO;DESDE;HASTA;LATITUD;LONGITUD;CODIGO
Lateral C. BAILEN;Mayor-Requena;Mayor;19/04/2018;26/04/2018;40,41567;-3,71357;01010163
Lateral C. BAILEN;Mayor-Requena;Requena;19/04/2018;26/04/2018;40,4157;-3,71335;01010164
Paso Elevado C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Espana (Pz.);20/04/2018;27/04/2018;40,42087;-3,71284;01010165
Paso Elevado C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Plaza Marina Espanola;20/04/2018;27/04/2018;40,42093;-3,71288;01010166
Lateral C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Plaza Marina Espanola;20/04/2018;27/04/2018;40,42095;-3,7129;01010167
Lateral C. BAILEN;Plaza Marina Espanola-Espana (Pz.);Espana (Pz.);19/04/2018;26/04/2018;40,42083;-3,71278;01010168
Tunel C. BAILEN;San Quintin-Plaza Marina Espanola;Plaza Marina Espanola;19/04/2018;26/04/2018;40,42051;-3,71278;01010169
Tunel C. BAILEN;San Quintin-Plaza Marina Espanola;San Quintin;19/04/2018;26/04/2018;40,42046;-3,71289;01010170
Lateral C. BAILEN;San Quintin-Plaza Marina Espanola;San Quintin;19/04/2018;26/04/2018;40,42046;-3,71289;01010171
Lateral C. BAILEN;San Quintin-Plaza Marina Espanola;Plaza Marina Espanola;28/06/2018;05/07/2018;40,42051;-3,71278;01010172
 Pza. ESPANA;Bailen-Gran Via;Bailen;17/05/2018;24/05/2018;40,42262;-3,71224;01010398
 C. MAYOR;Bailen-Cripta Catedral;Bailen;20/04/2018;27/04/2018;40,41512;-3,71401;01010611
 C. MAYOR;Bailen-Cripta Catedral;Cripta Catedral;20/04/2018;27/04/2018;40,41513;-3,71413;01010612
 C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);04/05/2018;11/05/2018;40,41405;-3,7188;01010809
 C. SEGOVIA;(Juan Duque)-(Mazarredo);(Juan Duque);19/04/2018;26/04/2018;40,41406;-3,71886;01010810
C. SEGOVIA;(Juan Duque)-(Mazarredo);(Mazarredo);19/04/2018;26/04/2018;40,41405;-3,71875;01010811
 C. TOLEDO;Capitan Salazar Martinez-Glorieta Puerta Toledo;Puerta Toledo (Gt¦.);20/04/2018;27/04/2018;40,40736;-3,7113;01010850
 C. TOLEDO;Capitan Salazar Martinez-Glorieta Puerta Toledo;Capitan Salazar Martinez;20/04/2018;27/04/2018;40,40738;-3,71129;01010851
 C. CARRERA DE SAN FRANCISCO;San Isidro Labrador-Aguas;San Isidro Labrador;20/04/2018;27/04/2018;40,41095;-3,71278;01010999
 C. CARRERA DE SAN FRANCISCO;San Isidro Labrador-Aguas;Las Aguas;20/04/2018;27/04/2018;40,41098;-3,71278;01011000
C. CUESTA DE LA VEGA;Paseo Ciudad de Plasencia-Segovia;Paseo Ciudad de Plasencia;23/04/2018;30/04/2018;40,4146;-3,71681;01011003
C. CUESTA DE LA VEGA;Paseo Ciudad de Plasencia-Segovia;Segovia;23/04/2018;30/04/2018;40,41454;-3,71688;01011004
 C. SEGOVIA;Plaza de la Cruz Verde-Ronda Segovia;Ronda Segovia;23/04/2018;30/04/2018;40,41391;-3,71586;01011561
 C. SEGOVIA;Plaza de la Cruz Verde-Ronda Segovia;Plaza de la Cruz Verde;23/04/2018;30/04/2018;40,41391;-3,71586;01011562
Tunel C. CUESTA SAN VICENTE;Paseo del Rey-Glorieta de San Vicente;Paseo del Rey;17/05/2018;24/05/2018;40,42023;-3,71818;01011902
Lateral C. CUESTA SAN VICENTE;Paseo del Rey-Glorieta de San Vicente;Paseo del Rey;29/05/2018;05/06/2018;40,41998;-3,71808;01011903
 C. BEATRIZ GALINDO;Segovia-Don Pedro;Don Pedro;26/02/2018;05/03/2018;40,41338;-3,71455;01012723
 C. CAVA ALTA;Plaza Humilladero-Grafal;Grafal;03/05/2018;10/05/2018;40,4118;-3,70988;01012769
 Av. SAN FRANCISCO;Puerta de Toledo-Aguila;Puerta de Toledo;26/02/2018;05/03/2018;40,4075;-3,71221;01013309
 Av. SAN FRANCISCO;Puerta de Toledo-Aguila;Aguila;26/02/2018;05/03/2018;40,40755;-3,71227;01013310
Calle SILVA;Plaza de Santo Domingo-Gran Vía;Gran Vía;08/01/2018;15/01/2018;40,42076;-3,70716;01013359
 C. MAGDALENA, LA;Olivar-Ave Maria;Ave Maria;04/09/2018;11/09/2018;40,41241;-3,70095;01021058
Tunel C. CONCEPCION JERONIMA;Jacinto Benavente (Pz.)-Conde de Romanones;Conde de Romanones;24/04/2018;01/05/2018;40,41429;-3,70402;01021294
C. COLEGIATA;Duque de Rivas-Conde de Romanones;Conde de Romanones;05/01/2018;12/01/2018;40,41278;-3,7058;01021858
 C. RONDA DE TOLEDO;Ribera de Curtidores-Plaza Campillo del Mundo Nuevo;Plaza Campillo del Mundo Nuevo;26/04/2018;03/05/2018;40,40606;-3,7075;01022454
 C. RONDA DE TOLEDO;Ribera de Curtidores-Plaza Campillo del Mundo Nuevo;Ribera de Curtidores;04/05/2018;11/05/2018;40,40585;-3,70744;01022455
 Pza. TIRSO DE MOLINA;Conde de Romanones-Doctor Cortezo;Doctor Cortezo;04/09/2018;11/09/2018;40,41245;-3,704583333;01023366
Lateral C. ALCALA;Cedaceros-Sevilla;Sevilla;21/06/2018;28/06/2018;40,41808;-3,69897;01030108
Paseo. PRADO;Gobernador-Plaza Plateria Martinez;Gobernador;09/01/2018;18/01/2018;40,41235;-3,69317;01030725
Paseo. PRADO;Plaza de Murillo-Felipe IV;Felipe IV;09/01/2018;18/01/2018;40,41291;-3,69305;01030726
 C. CARRERA DE SAN JERONIMO;Cedaceros-Santa Catalina;Santa Catalina;04/09/2018;11/09/2018;40,41651;-3,69788;01031815
 Pza. CORTES;Duque de Medinaceli-Canovas del Castillo;Duque de Medinaceli;18/05/2018;25/05/2018;40,4157;-3,69579;01031886
 Pza. CORTES;Duque de Medinaceli-Canovas del Castillo;Canovas del Castillo;15/06/2018;22/06/2018;40,41589;-3,69588;01031887
 C. PRINCIPE;Canalejas (Pz.)-Santa Ana (Pz.);Santa Ana (Pz.);29/11/2018;06/12/2018;40,41573;-3,70039;01032375
 C. GENOVA;Argensola-General Castanos;General Castanos;18/05/2018;25/05/2018;40,42665;-3,69385;01040467
Lateral Paseo. RECOLETOS;Recoletos-Villanueva;Villanueva;02/07/2018;09/07/2018;40,42291;-3,69156;01040766
Lateral Paseo. RECOLETOS;Recoletos-Villanueva;Recoletos;02/07/2018;09/07/2018;40,42291;-3,692;01040767
 C. SAGASTA;Larra-Mejia Lequerica;Larra;18/05/2018;25/05/2018;40,42842;-3,70023;01040775
 C. SAGASTA;Larra-Mejia Lequerica;Mejia Lequerica;02/07/2018;09/07/2018;40,42842;-3,70023;01040776
 C. SAGASTA;Larra-Mejia Lequerica;Mejia Lequerica;25/05/2018;01/06/2018;40,42842;-3,70023;01040776
C. FERNANDO VI;Argensola-Campoamor;Argensola;08/01/2018;15/01/2018;40,42515;-3,69615;01041028
 C. HORTALEZA;Fernando VI-Santa Barbara (Pz.);Santa Barbara (Pz.);12/11/2018;19/11/2018;40,42636;-3,69673;01042085
Lateral C. ALBERTO AGUILERA;Guzman el Bueno-Blasco de Garay;Guzman el Bueno;18/05/2018;25/05/2018;40,43018;-3,71261;01050073
 C. FUENCARRAL;San Mateo-Santa Brigida;Santa Brigida;05/07/2018;12/07/2018;40,42476;-3,70082;01050441
Lateral C. PRINCESA;Quintana-Buen Suceso;Buen Suceso;18/05/2018;25/05/2018;40,42982;-3,71551;01050729
 C. PRINCESA;Reyes-San Leonardo;San Leonardo;22/05/2018;29/05/2018;40,42388;-3,7113;01050731
Tunel C. PRINCESA;Reyes-San Leonardo;San Leonardo;22/11/2018;29/11/2018;40,42388;-3,7113;01050732
 C. CARRANZA;Monteleon-Ruiz;Ruiz;26/02/2018;06/03/2018;40,42934;-3,70426;01050997
 C. CARRANZA;Monteleon-Ruiz;Monteleon;26/02/2018;06/03/2018;40,42931;-3,70428;01050998
 C. SAN VICENTE FERRER;Costanilla de San Vicente-San Bernardo;San Bernardo;27/02/2018;06/03/2018;40,42607;-3,70611;01051112
 C. ALBERTO AGUILERA;Galileo-Vallehermoso;Galileo;26/02/2018;05/03/2018;40,42998;-3,70987;01051134
 C. ALBERTO AGUILERA;Galileo-Vallehermoso;Vallehermoso;26/02/2018;05/03/2018;40,42996;-3,70984;01051135
 C. FUENCARRAL;Manuela Malasana-Divino Pastor;Divino Pastor;26/02/2018;04/03/2018;40,42817;-3,70215;01051342
 C. FUENCARRAL;Manuela Malasana-Divino Pastor;Manuela Malasana;26/02/2018;04/03/2018;40,42817;-3,70215;01051343
 C. PRINCESA;Rey Francisco-Quintana;Quintana;29/06/2018;06/07/2018;40,42844;-3,71462;01051511
C. SAN BERNARDO;Gran Via-Marques de Leganes;Gran Via;08/01/2018;15/01/2018;40,42207;-3,70778;01051530
C. SAN BERNARDO;Gran Via-Marques de Leganes;Marques de Leganes;08/01/2018;15/01/2018;40,42204;-3,70775;01051531
 C. SAN BERNARDO;Quinones-Monserrat;Quinones;29/06/2018;06/07/2018;40,42758;-3,70635;01051534
 C. SAN BERNARDO;Quinones-Monserrat;Monserrat;29/06/2018;06/07/2018;40,42739;-3,70622;01051535
 C. SAN BERNARDO;San Vicente Ferrer-Palma;Palma;26/02/2018;05/03/2018;40,42626;-3,70706;01051538
 C. SAN BERNARDO;San Vicente Ferrer-Palma;San Vicente Ferrer;26/02/2018;05/03/2018;40,42626;-3,70706;01051539
 C. PALMA;San Bernardo-Costanilla San Vicente;Costanilla de San Vicente;26/02/2018;05/03/2018;40,42647;-3,7062;01052311
 C. AMANIEL;Plaza Conde Toreno-Noviciado;Noviciado;24/04/2018;01/05/2018;40,42508333;-3,709166667;01052671
 C. SERRANO JOVER (LATERAL DERECHO);Alberto Aguilera-Santa Cruz de Marcenado;Santa Cruz de Marcenado;06/07/2018;13/07/2018;40,42998333;-3,714183333;01053349
 C. SERRANO JOVER (TUNEL);Alberto Aguilera-Santa Cruz de Marcenado;Santa Cruz de Marcenado;29/06/2018;06/07/2018;40,43;-3,714233333;01053351
Tunel C. ATOCHA;Concepcion Jeronima-Santo Tomas;Santo Tomas;22/05/2018;29/05/2018;40,41463;-3,7048;01060151
Lateral C. ATOCHA;Jacinto Benavente (Pz.)-La Provincia (Pz);La Provincia (Pz);03/05/2018;10/05/2018;40,41464;-3,70498;01060152
Tunel C. ATOCHA;Jacinto Benavente (Pz.)-La Provincia (Pz);La Provincia (Pz);03/05/2018;10/05/2018;40,41464;-3,70498;01060153
 C. MAYOR;Plaza de Herradores-Bordadores;San Felipe Neri;05/03/2018;12/03/2018;40,41603;-3,7083;01060613
Lateral C. CONCEPCION JERONIMA;Jacinto Benavente (Pz.)-Conde de Romanones;Conde de Romanones;24/04/2018;01/05/2018;40,41432;-3,7046;01061293
 C. CARRERA DE SAN JERONIMO;Victoria-Plaza de Canalejas;Plaza de Canalejas;25/04/2018;02/05/2018;40,41673;-3,70109;01061817
 C. LA FLORA;Plaza de San Martin-Plaza Santa Catalina de los Donados;Plaza Santa Catalina de los Donados;26/04/2018;03/05/2018;40,41823;-3,7077;01062146
 C. VIRGEN DE LOS PELIGROS, LA;Aduana-Jardines;Jardines;22/05/2018;29/05/2018;40,41871;-3,69963;01062615
 C. BORDADORES;Plazuela San Ginés-Mayor;Plazuela San Ginés;07/05/2018;14/05/2018;40,41623;-3,70791;01062732
 C. CAVA SAN MIGUEL;Plaza de San Miguel-Maestro Villa;Maestro Villa;29/05/2018;05/06/2018;40,41528;-3,70841;01062771
 C. COSTANILLA DE LOS ANGELES;Plaza Santa Catalina de los Donados-Caños del Peral;Caños del Peral;03/10/2018;10/10/2018;40,41885;-3,708216667;01062807
 Paseo. MELANCOLICOS;San Epifanio-Alejandro Dumas;San Epifanio;23/02/2018;02/03/2018;40,40149;-3,71777;02010614
Lateral Paseo. VIRGEN DEL PUERTO;Fosforo-Moreno Nieto;Moreno Nieto;23/02/2018;02/03/2018;40,4109;-3,72131;02010890
Lateral Paseo. VIRGEN DEL PUERTO;Fosforo-Moreno Nieto;Moreno Nieto;23/02/2018;02/03/2018;40,4109;-3,72131;02010891
 Paseo. MELANCOLICOS;San Alejandro-Paseo Pontones;Paseo Pontones;29/11/2018;06/12/2018;40,40435;-3,72062;02011432
 Paseo. MELANCOLICOS;San Alejandro-Paseo Pontones;San Alejandro;13/03/2018;20/03/2018;40,40435;-3,72062;02011433
 Paseo. IMPERIAL;Plaza Francisco Morano-Glorieta Piramides;Glorieta Piramides;13/03/2018;20/03/2018;40,40296;-3,71538;02012098
 Paseo. IMPERIAL;Plaza Francisco Morano-Glorieta Piramides;Plaza Francisco Morano;13/03/2018;20/03/2018;40,40304;-3,71546;02012099
Pte. PONTON DE SAN ISIDRO;Ermita del Santo-Los Pontones;Ermita del Santo;15/03/2018;22/03/2018;40,40417;-3,72063;02012357
Pte. PONTON DE SAN ISIDRO;Ermita del Santo-Los Pontones;Paseo de Los Pontones;15/03/2018;22/03/2018;40,40402;-3,7207;02012358
 Paseo. PONTONES;Plaza Francisco Morano-Alejandro Dumas;Alejandro Dumas;14/03/2018;21/03/2018;40,40438;-3,71705;02012360
 Paseo. PONTONES;Plaza Francisco Morano-Alejandro Dumas;Plaza Francisco Morano;14/03/2018;21/03/2018;40,4044;-3,71716;02012361
C. RONDA DE SEGOVIA;Glorieta Puerta Toledo-Aguila;Glorieta Puerta Toledo;16/03/2018;23/03/2018;40,40755;-3,71415;02012448
C. RONDA DE SEGOVIA;Glorieta Puerta Toledo-Aguila;Aguila;16/03/2018;23/03/2018;40,40756;-3,71413;02012449
C. EMBAJADORES;Labrador-Sebastian el Cano;Sebastian el Cano;15/03/2018;22/03/2018;40,40348;-3,70142;02020381
C. EMBAJADORES;Labrador-Sebastian el Cano;Labrador;15/03/2018;22/03/2018;40,40348;-3,70142;02020382
 Paseo. ACACIAS, LAS;Ortega y Munilla (Pz.)-Piramides (Gt¦.);Piramides (Gt¦.);16/03/2018;23/03/2018;40,40122;-3,7133;02020971
 Paseo. ACACIAS, LAS;Ortega y Munilla (Pz.)-Piramides (Gt¦.);Ortega y Munilla (Pz.);16/03/2018;23/03/2018;40,40109;-3,71217;02020972
C. RIBERA DE CURTIDORES;Cigarreras-Ronda de Toledo;Cigarreras;16/03/2018;23/03/2018;40,40549;-3,70694;02021101
 C. RIBERA DE CURTIDORES;Cigarreras-Ronda de Toledo;Ronda de Toledo;26/03/2018;02/04/2018;40,40546;-3,70696;02021102
Lateral Paseo. YESERIAS;Piramides (Gt¦)-Carmen Cobena;Piramides (Gt¦);14/03/2018;21/03/2018;40,40053;-3,71361;02021129
 C. ARGANDA;Banos de Montemayor-Gargantilla;Banos de Montemayor;19/03/2018;26/03/2018;40,39797;-3,70475;02021673
 C. ARGANDA;Banos de Montemayor-Gargantilla;Gargantilla;19/03/2018;26/03/2018;40,39797;-3,70475;02021674
 C. GASOMETRO;Majuelo-Palo de Rosa;Majuelo;20/03/2018;27/03/2018;40,40322;-3,70792;02022029
 C. GASOMETRO;Majuelo-Palo de Rosa;Palo de Rosa;20/03/2018;27/03/2018;40,40302;-3,70781;02022030
Lateral Pte. PRAGA;Chopera (P§)-Antonio Lopez;Antonio Lopez;29/11/2018;06/12/2018;40,39614;-3,7039;02022369
Tunel Paseo. YESERIAS, LAS;Piramides (Gt¦.)-Carmen Cobena;Piramides (Gt¦.);15/03/2018;22/03/2018;40,40037;-3,7134;02022631
Paseo. YESERIAS, LAS;Piramides (Gt¦.)-Carmen Cobena;Carmen Cobena;21/03/2018;28/03/2018;40,40037;-3,7134;02022632
Paseo. ACACIAS;Ribera de Curtidores-Gasómetro;Gasómetro;26/04/2018;03/05/2018;40,40378333;-3,707383333;02022637
 Paseo. ACACIAS;Ribera de Curtidores-Gasómetro;Ribera de Curtidores;26/04/2018;03/05/2018;40,40378333;-3,707316667;02022638
 Paseo. CHOPERA;Fernando Poo-Plaza General Maroto;Fernando Poo;20/03/2018;27/03/2018;40,39415;-3,69919;02030298
 Paseo. CHOPERA;Fernando Poo-Plaza General Maroto;Plaza General Maroto;20/03/2018;27/03/2018;40,39415;-3,69919;02030299
Paseo. DELICIAS;Enrique Trompeta-Plaza de Legazpi;Plaza de Legazpi;20/03/2018;27/03/2018;40,39208;-3,69503;02030346
Paseo. DELICIAS;Plaza Beata M¦ Ana de Jesus-Plaza Legazpi;Plaza Legazpi;05/01/2018;12/01/2018;40,39292;-3,6949;02030348
 Paseo. CHOPERA;Plaza del General Maroto-Plaza de Legazpi;Plaza del General Maroto;26/03/2018;02/04/2018;40,39201;-3,69643;02031285
 Paseo. CHOPERA;Plaza del General Maroto-Plaza de Legazpi;Plaza de Legazpi;20/03/2018;26/03/2018;40,39212;-3,69656;02031286
C. GUILLERMO DE OSMA;Alejandro Saint Aubin-Plaza General Maroto;General Maroto (Pz.);21/03/2018;28/03/2018;40,39368;-3,69739;02032072
 C. JAIME EL CONQUISTADOR;Eugenio Selles-Divino Valles;Eugenio Selles;21/03/2018;28/03/2018;40,3962;-3,69823;02032131
 C. JAIME EL CONQUISTADOR;Eugenio Selles-Divino Valles;Divino Valles;21/03/2018;28/03/2018;40,3962;-3,69823;02032132
Lateral C. EMBAJADORES;Avenida del Planetario-M-30;Avenida del Planetario;21/03/2018;27/03/2018;40,38425;-3,688;02040375
Lateral C. EMBAJADORES;Avenida del Planetario-M-30;M-30;21/03/2018;28/03/2018;40,38483;-3,68796;02040376
C. EMBAJADORES;Avenida del Planetario-M-30;M-30;11/04/2018;18/04/2018;40,38429;-3,68798;02040377
C. EMBAJADORES;Avenida del Planetario-M-30;Avenida del Planetario;11/04/2018;18/04/2018;40,38429;-3,68798;02040378
Tunel C. EMBAJADORES;Manuel Aleixandre-Rodio;Manuel Aleixandre;22/03/2018;29/03/2018;40,39064;-3,69256;02040386
Lateral C. EMBAJADORES;Manuel Aleixandre-Rodio;Manuel Aleixandre;22/03/2018;29/03/2018;40,39076;-3,69252;02040387
Lateral C. EMBAJADORES;Manuel Aleixandre-Rodio;Rodio;23/10/2018;30/10/2018;40,39088;-3,69261;02040388
 Av. PLANETARIO;Meneses-Embajadores;Embajadores;05/09/2018;12/09/2018;40,38727;-3,68953;02040699
Pte. Puente Andalucía;Legazpi(Pz.)-Cadiz (Gt¦.);Cadiz (Gt¦.);05/01/2018;12/01/2018;40,38945;-3,69755;02040953
Pte. Puente Andalucía;Legazpi(Pz.)-Cadiz (Gt¦.);Legazpi(Pz.);05/01/2018;12/01/2018;40,38942;-3,69755;02040954
 C. PLANETA TIERRA;Eros-Nereida;Nereida;26/04/2018;03/05/2018;40,39213;-3,67933;02043253
 C. PLANETA TIERRA;Eros-Nereida;Eros;26/04/2018;03/05/2018;40,39213;-3,67933;02043254
Paseo. DELICIAS;Enrique Trompeta-Plaza Legazpi;Plaza Beata M¦ Ana de Jesus;22/03/2018;29/03/2018;40,39196;-3,69495;02050345
Paseo. DELICIAS;Tomas Breton-Caceres;Caceres;22/03/2018;29/03/2018;40,39786;-3,69422;02050349
 C. EMBAJADORES;General Palanca-Caceres;Caceres;21/03/2018;28/03/2018;40,39928;-3,6982;02050379
 C. EMBAJADORES;General Palanca-Caceres;General Palanca;21/03/2018;28/03/2018;40,39928;-3,6982;02050380
Av. PLANETARIO;Eros-Meneses;Meneses;14/03/2018;21/03/2018;40,39404;-3,68214;02050697
 Av. PLANETARIO;Eros-Meneses;Mendez Alvaro;21/03/2018;28/03/2018;40,39433;-3,6822;02050698
 C. MENDEZ ALVARO;Comercio-Ramirez de Prado;Ramirez de Prado;03/09/2018;10/09/2018;40,39956;-3,68479;02051437
 C. RAMIREZ DE PRADO;General Lacy-Vara del Rey;Vara del Rey;13/03/2018;20/03/2018;40,39965;-3,69086;02052392
 Paseo. DELICIAS;Murcia-Tortosa;Tortosa;14/03/2018;21/03/2018;40,40537;-3,6935;02060347
Paseo. SANTA MARIA DE LA CABEZA;Murcia-Glorieta Emperador Carlos V;Murcia;05/01/2018;12/01/2018;40,40588;-3,69473;02060801
C. ANCORA;General Lacy-Rafael de Riego;Rafael de Riego;13/03/2018;20/03/2018;40,40314;-3,69196;02060979
 C. FERROCARRIL;Santa Maria de la Cabeza (Gt¦.)-Batalla del Salado;Batalla del Salado;13/03/2018;20/03/2018;40,40098;-3,69768;02061029
 Paseo. SANTA MARIA DE LA CABEZA;Canarias-Bernardino Obregon;Bernardino Obregon;13/03/2018;20/03/2018;40,40217;-3,6982;02061551
 C. GENERAL LACY;Ancora-Delicias;Ancora;03/05/2018;10/05/2018;40,40301;-3,69071;02062039
 C. GENERAL LACY;Ancora-Delicias;Delicias;26/04/2018;03/05/2018;40,40298;-3,69069;02062040
C. PALOS DE LA FRONTERA;Bernardino Obregon-Embajadores;Embajadores;23/03/2018;30/03/2018;40,4027;-3,70012;02062314
Lateral C. RONDA DE ATOCHA;Plaza del Emperador Carlos V-Argumosa;Plaza del Emperador Carlos V;28/03/2018;04/04/2018;40,40693;-3,6955;02062442
Tunel C. RONDA DE ATOCHA;Plaza del Emperador Carlos V-Argumosa;Plaza del Emperador Carlos V;28/03/2018;04/04/2018;40,40693;-3,6955;02062445
Lateral Paseo. INFANTA ISABEL;Glorieta Emperador Carlos V-Alfonso XII;Alfonso XII;22/05/2018;29/05/2018;40,40767;-3,69027;02070512
C. MENDEZ ALVARO;Canarias-Ancora;Ancora;23/03/2018;30/03/2018;40,40167;-3,68708;02070615
 C. MENDEZ ALVARO;Oriana-Alpedrete;Alpedrete;13/04/2018;20/04/2018;40,39832;-3,6832;02070617
C. MENDEZ ALVARO;Tortosa-Murcia;Tortosa;23/03/2018;30/03/2018;40,40553;-3,69113;02070618
 C. MENDEZ ALVARO;Comercio-Ramirez de Prado;Comercio;03/09/2018;10/09/2018;40,3996;-3,68475;02071436
 C. RETAMA;Mendez Alvaro-Ombu;Mendez Alvaro;27/03/2018;03/04/2018;40,39383;-3,67638;02072412
 C. RETAMA;Mendez Alvaro-Ombu;Ombu;27/03/2018;03/04/2018;40,3938;-3,6764;02072413
Lateral C. RONDA DE ATOCHA;Plaza del Emperador Carlos V-Argumosa;Argumosa;26/03/2018;02/04/2018;40,4079;-3,69058;02072443
Tunel C. RONDA DE ATOCHA;Plaza del Emperador Carlos V-Argumosa;Argumosa;26/03/2018;02/04/2018;40,4079;-3,69058;02072444
 C. ACANTO;Ombú-Retama;Retama;26/03/2018;02/04/2018;40,395;-3,674216667;02072641
C. OMBU;Retama-Acanto;Acanto;27/03/2018;03/04/2018;40,39365;-3,675816667;02073235
 Av. CIUDAD DE BARCELONA;Narciso Serra-Juan de Urbieta;Narciso Serra;27/04/2018;04/05/2018;40,40378;-3,6794;03010300
 Av. CIUDAD DE BARCELONA;Narciso Serra-Juan de Urbieta;Juan de Urbieta;27/04/2018;04/05/2018;40,40378;-3,6794;03010301
 Av. MENENDEZ PELAYO;Valderribas-Granada;Granada;29/05/2018;05/06/2018;40,4058;-3,67998;03010623
 Av. MENENDEZ PELAYO;Valderribas-Granada;Valderribas;29/05/2018;05/06/2018;40,40581;-3,67992;03010624
 C. PEDRO BOSCH;Puente Pedro Bosch-Mendez Alvaro;Mendez Alvaro;27/04/2018;04/05/2018;40,3997;-3,67635;03010685
Lateral C. PEDRO BOSCH;Puente Pedro Bosch-Mendez Alvaro;Mendez Alvaro;27/04/2018;04/05/2018;40,3997;-3,67635;03010687
 C. COMERCIO;Avenida Ciudad de Barcelona-Tellez;Avenida Ciudad de Barcelona;27/04/2018;04/05/2018;40,40391;-3,681;03011860
 C. COMERCIO;Avenida Ciudad de Barcelona-Tellez;Tellez;04/05/2018;11/05/2018;40,40407;-3,681;03011861
Puente C. DOCTOR ESQUERDO;Granada-Avenida Ciudad de Barcelona;Avenida Ciudad de Barcelona;23/05/2018;30/05/2018;40,40216;-3,67388;03020360
Puente C. DOCTOR ESQUERDO;Granada-Avenida Ciudad de Barcelona;Granada;23/05/2018;30/05/2018;40,4022;-3,6738;03020361
Lateral C. DOCTOR ESQUERDO;Granada-Avenida Ciudad de Barcelona;Granada;23/05/2018;30/05/2018;40,40226;-3,67373;03020362
Lateral C. DOCTOR ESQUERDO;Granada-Avenida Ciudad de Barcelona;Avenida Ciudad de Barcelona;23/05/2018;30/05/2018;40,40209;-3,6739;03020363
 C. PEDRO BOSCH;Puente Pedro Bosch-Mendez Alvaro;Puente Pedro Bosch;27/04/2018;04/05/2018;40,39957;-3,67626;03020684
Lateral C. PEDRO BOSCH;Puente Pedro Bosch-Mendez Alvaro;Puente Pedro Bosch;27/04/2018;04/05/2018;40,39957;-3,67626;03020686
 Av. Avda. Ciudad de Barcelona;Cafeto-Seco;Seco;27/04/2018;04/05/2018;40,39963;-3,67188;03020955
 Av. Avda. Ciudad de Barcelona;Cafeto-Seco;Cafeto;04/05/2018;11/05/2018;40,39963;-3,67188;03020956
 C. CARLOS Y GUILLERMO FERNANDEZ SHAW;Plaza de Conde Casal-Luis Mitjans;M-30;07/05/2018;14/05/2018;40,40585;-3,66952;03021812
 C. CARLOS Y GUILLERMO FERNANDEZ SHAW;Plaza de Conde Casal-Luis Mitjans;Plaza de Conde Casal;04/05/2018;11/05/2018;40,40585;-3,66952;03021813
 C. O'DONNELL;Doctor Esquerdo-Puente M-30;Doctor Esquerdo;05/09/2018;12/09/2018;40,4207;-3,66701;03030657
Lateral C. O'DONNELL;Doctor Esquerdo-Puente M-30;Puente M-30;05/09/2018;12/09/2018;40,42048;-3,66681;03030659
 C. ESTRELLA POLAR;Pez Austral-Sirio;Sirio;23/05/2018;30/05/2018;40,4111;-3,66518;03031022
 C. ESTRELLA POLAR;Pez Austral-Sirio;Pez Austral;23/05/2018;30/05/2018;40,4111;-3,66518;03031023
 C. LOS ASTROS;Cruz del Sur-Estrella Polar;Cruz del Sur;23/05/2018;30/05/2018;40,41124;-3,66801;03031054
 C. LOS ASTROS;Cruz del Sur-Estrella Polar;Estrella Polar;23/05/2018;30/05/2018;40,41124;-3,66801;03031055
 C. ALCALDE SAINZ DE BARANDA;Marques de Lozoya-Juan Esplandiu;Juan Esplandiu;04/05/2018;11/05/2018;40,41757;-3,66683;03031171
 C. ALCALDE SAINZ DE BARANDA;Marques de Lozoya-Juan Esplandiu;Marques de Lozoya;04/05/2018;11/05/2018;40,41757;-3,66673;03031172
 C. ESTRELLA POLAR, LA;Los Astros-Pez Austral;Pez Austral;28/05/2018;04/06/2018;40,41112;-3,66628;03031996
 C. ESTRELLA POLAR, LA;Los Astros-Pez Austral;Los Astros;23/05/2018;30/05/2018;40,41112;-3,66628;03031997
 C. SIRIO;Acceso de M-30-Estrella Polar;Estrella Polar;03/05/2018;10/05/2018;40,41036;-3,6641;03032548
 C. SIRIO;Acceso de M-30-Estrella Polar;Acceso de M-30;03/05/2018;10/05/2018;40,41027;-3,66423;03032549
 C. ALCALDE SAINZ DE BARANDA;Antonio Arias-Doctor Esquerdo;Antonio Arias;04/05/2018;10/05/2018;40,41681;-3,6714;03040001
 C. ALCALDE SAINZ DE BARANDA;Avenida Menendez y Pelayo-Narvaez;Avenida Menendez y Pelayo;07/05/2018;14/05/2018;40,41681;-3,67663;03040002
 C. ALCALDE SAINZ DE BARANDA;Avenida Menendez y Pelayo-Narvaez;Narvaez;22/05/2018;29/05/2018;40,4168;-3,67666;03040003
 C. ALCALDE SAINZ DE BARANDA;Antonio Arias-Doctor Esquerdo;Doctor Esquerdo;04/05/2018;11/05/2018;40,41683;-3,67136;03040124
 Av. MENENDEZ PELAYO;Alcalde Sainz de Baranda-Ibiza;Ibiza;23/05/2018;30/05/2018;40,41764;-3,67845;03040620
